ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
3974;MUU1;MYCOPLASMA / UREAPLASMA URINA 1o JATO;04 dias úteis;;COLETA783, VOLUME360;Urina (1º jato);Automatizado / Específico;"- (MUU1)COLETA:

Encaminhar amostras líquidas (urinárias) em frasco estéril ou 200 µL de amostra em meio R1.
Amostras coletadas em swab: colocar o swab no meio R1 e homogeneizar.
REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.

- (MUU1)VOLUME MÍNIMO:

200μL de amostra líquida.

";- (MUU1)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 24 horas.Congelada (-20°C): não se aplica.;Cultura para mycoplasma ureaplasma de amostras urogenitais. Para pesquisa de infecção urogenital pelos agentes Mycoplasma hominis e/ou Ureaplasma urealiticum.;;"- (MUU1)PACIENTE:

Exame realizado em amostra de urina 1º jato.
Estar com duas horas de retenção urinária. 
Abstinência sexual nas 24 horas que precedem o 
exame.
Não utilizar antes do exame medicação tópica, se 
em uso informar. 
JEJUM:

Não se aplica.


";;;;
3975;MUUF;MYCOPLASMA / UREAPLASMA URINA JATO FINAL;04 dias úteis;;COLETA783;Urina Jato Final;Manual e/ou Automatizado (MIC = Concentração inibitória mínima);"- (MUUF)COLETA:

Encaminhar amostras líquidas (urinárias) em frasco estéril ou 200 µL de amostra em meio R1.
Amostras coletadas em swab: colocar o swab no meio R1 e homogeneizar.
REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.

";;;;;"
Urina Jato Final";"Instruções de jejum:
Não há.";"Instruções de paciente:
Exame realizado em amostra de urina jato final.
Estar com duas horas de retenção urinária. 
Abstinência sexual nas 24 horas que precedem o 
exame.
Não utilizar antes do exame medicação tópica, se 
em uso informar. 
Coleta: urina jato final após assepsia.";"Instruções de coleta:
urina jato final após assepsia."
3976;CAERO7;CULTURA [7 AMOSTRA];04 dias úteis;;;Diversos materiais;Automatizado / Específico;;;;;;"Instruções de jejum:
Não há.";"
Preparo: conforme amostra (secreção vaginal, 
uretral, orofaringe, conjuntival, lesões de pele 
etc...)

Secreção vaginal ou cervical
Pausa sexual de 48 horas antes do exame.
Não fazer uso de creme/óvulo vaginal, ducha 
interna nas 48 horas antes do exame.
Não estar no periodo menstrual.

Secreção uretral
Estar a pelo menos 2 horas de retenção urinária.
Não fazer uso de medicamentos tópicos (creme, 
pomadas)

Secreção de lesão de pele
Não fazer uso de medicamentos tópicos (creme, 
pomadas)

Secreção de orofaringe
Jejum desejavel de 4 horas (somente para evitar 
vomitos)
Não fazer uso de medicação tópica (spray)
Antissepsia bucal (gargarejo com água), no 
momento da coleta.

Secreção conjuntival
Não fazer uso de medicação tópica (pomada, creme 
oftalmico) e colírio na véspera do exame.

Informar medicação, em especial antimicrobianos 
e antifúngicos.
";"
Secreção vaginal, uretral, orofaringe, 
conjuntival, lesões de pele, perianal, outras, 
conforme solicitação médica.";"
1.Aspirados, Escarro, lavado brônquico, 
Ponta de Cateter, Líquidos orgânicos,
Fragmentos de pele e fragmentos ósseos:
refrigerado (2º-8ºC): 24 horas.

2.Liquor, swab de trato respiratório,
swab secreção ocular, swab de secreções
genitais e placas semeadas:
temperatura ambiente (20º-25ºC): 24 horas"
3984;CFU1;CULTURA DE FUNGOS - URINA 1o JATO;30 dias corridos;;Volume19;Urina (1º jato);Automatizado / Específico;"- (CFU1)VOLUME MÍNIMO:Adultos: 3 ml / Crianças: 1ml. ";;;;;"
Urina 1º Jato";"Instruções de jejum:
Não há.";"Instruções de paciente:
Exame realizado em amostra de urina (1º jato).
Não utilizar medicação tópica (creme, pomada), 
nos 3 dias que antecedem o exame.
Informar medicação, em especial antifungicos.
Coleta: urina 1º jato após assepsia";"Instruções de coleta:
urina 1º jato após assepsia

Coleta: urina 1º jato após assepsia"
3985;CFUNGOUF;CULTURA DE FUNGOS - URINA JATO FINAL;30 dias corridos;;Volume19;Urina Jato Final;Automatizado / Específico;"- (CFUNGOUF)VOLUME MÍNIMO:Adultos: 3 ml / Crianças: 1ml. ";;;;;"
Urina Jato Final";"Instruções de jejum:
Não há.";"Instruções de paciente:
Exame realizado em amostra de urina (jato final).
Não utilizar medicação tópica (creme, pomada), 
nos 3 dias que antecedem o exame.
Informar medicação, em especial antifungicos.
Coleta: urina jato final após assepsia";"Instruções de coleta:
urina jato final após assepsia

Coleta: urina jato final após assepsia"
3999;CVALV1;CULTURA DE FRAGMENTOS - 1ª amostra;04 dias úteis;;Volume34;Diversos materiais;Automatizado / Específico;"- (CVALV1)VOLUME MÍNIMO:Quando houver lesão ou tecido necrosado, realizar o desbridamento da lesão. Deve-se colher um fragmento profundo (em torno de 1 cm²) e a amostra deve ser enviada ao laboratório em frasco estéril sem aditivos. Caso seja necessário umidificar a amostra, utilizar solução fisiológica 0,9%.A proporção ideal é de 1 gota de solução para cada cm², apenas para garantir a umidade da amostra, a propiciando melhores resultados.Não é indicado que a amostra seja submersa em solução salina, pois pode ocorrer a diluição e consequentemente resultados falsos negativos. Não utilizar formol. ";;;;;;;;
4002;CVALV2;CULTURA DE FRAGMENTOS - 2a amostra;04 dias úteis;;Volume34;Diversos materiais;Automatizado / Específico;"- (CVALV2)VOLUME MÍNIMO:Quando houver lesão ou tecido necrosado, realizar o desbridamento da lesão. Deve-se colher um fragmento profundo (em torno de 1 cm²) e a amostra deve ser enviada ao laboratório em frasco estéril sem aditivos. Caso seja necessário umidificar a amostra, utilizar solução fisiológica 0,9%.A proporção ideal é de 1 gota de solução para cada cm², apenas para garantir a umidade da amostra, a propiciando melhores resultados.Não é indicado que a amostra seja submersa em solução salina, pois pode ocorrer a diluição e consequentemente resultados falsos negativos. Não utilizar formol. ";;;;;;;;
4003;CVALV3;CULTURA DE FRAGMENTOS - 3ª amostra;04 dias úteis;;Volume34;Diversos materiais;Automatizado / Específico;"- (CVALV3)VOLUME MÍNIMO:Quando houver lesão ou tecido necrosado, realizar o desbridamento da lesão. Deve-se colher um fragmento profundo (em torno de 1 cm²) e a amostra deve ser enviada ao laboratório em frasco estéril sem aditivos. Caso seja necessário umidificar a amostra, utilizar solução fisiológica 0,9%.A proporção ideal é de 1 gota de solução para cada cm², apenas para garantir a umidade da amostra, a propiciando melhores resultados.Não é indicado que a amostra seja submersa em solução salina, pois pode ocorrer a diluição e consequentemente resultados falsos negativos. Não utilizar formol. ";;;;;;;;
4005;CVALV5;CULTURA DE FRAGMENTOS - 5ª amostra;04 dias úteis;;Volume34;Diversos materiais;Automatizado / Específico;"- (CVALV5)VOLUME MÍNIMO:Quando houver lesão ou tecido necrosado, realizar o desbridamento da lesão. Deve-se colher um fragmento profundo (em torno de 1 cm²) e a amostra deve ser enviada ao laboratório em frasco estéril sem aditivos. Caso seja necessário umidificar a amostra, utilizar solução fisiológica 0,9%.A proporção ideal é de 1 gota de solução para cada cm², apenas para garantir a umidade da amostra, a propiciando melhores resultados.Não é indicado que a amostra seja submersa em solução salina, pois pode ocorrer a diluição e consequentemente resultados falsos negativos. Não utilizar formol. ";;;;;;;;
4006;CVALV6;CULTURA DE FRAGMENTOS - 6ª amostra;04 dias úteis;;Volume34;Diversos materiais;Automatizado / Específico;"- (CVALV6)VOLUME MÍNIMO:Quando houver lesão ou tecido necrosado, realizar o desbridamento da lesão. Deve-se colher um fragmento profundo (em torno de 1 cm²) e a amostra deve ser enviada ao laboratório em frasco estéril sem aditivos. Caso seja necessário umidificar a amostra, utilizar solução fisiológica 0,9%.A proporção ideal é de 1 gota de solução para cada cm², apenas para garantir a umidade da amostra, a propiciando melhores resultados.Não é indicado que a amostra seja submersa em solução salina, pois pode ocorrer a diluição e consequentemente resultados falsos negativos. Não utilizar formol. ";;;;;;;;
4007;HEMO5;HEMOCULTURA [5a AMOSTRA];06 dias úteis;;COLETA758, VOLUME333;Diversos materiais;Automatizado / Específico;"- (HEMO5)COLETA:

Coletar amostras em frascos de Hemocultura.


REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HEMO5)VOLUME MÍNIMO:

Frasco da BD:
Adulto: 8 a 10mL. 
Pediátrico: 0,5 a 5mL.
";- (HEMO5)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;Investigação de infecção de corrente sanguínea.;;"- (HEMO5)PACIENTE:

Não coletar amostras em pico febril.
JEJUM:

Não se aplica.

";;;;
4008;HEMO6;HEMOCULTURA [6a AMOSTRA];06 dias úteis;;COLETA758, VOLUME333;Diversos materiais;Automatizado / Específico;"- (HEMO6)COLETA:

Coletar amostras em frascos de Hemocultura.


REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HEMO6)VOLUME MÍNIMO:

Frasco da BD:
Adulto: 8 a 10mL. 
Pediátrico: 0,5 a 5mL.
";- (HEMO6)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;Investigação de infecção de corrente sanguínea.;;"- (HEMO6)PACIENTE:

Não coletar amostras em pico febril.
JEJUM:

Não se aplica.

";;;;
4079;FOSA2;ANTICORPOS ANTI-RECEPTOR, DA FOSFOLIPASE A2,;19 dias úteis;ANTICORPOS ANTI-RECEPTOR,  DA FOSFOLIPASE A2 ANTI-PLA2R;COLETA1;Soro;Imunofluorescência Indireta - IFI;"- (FOSA2)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (FOSA2)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Autoanticorpos Anti-Receptor de Fosfolipase A2 são altamente específicos para o diagnóstico de Glomerulonefrite Membranosa primária e podem ser detectados no soro de 70% a 75% dos pacientes, sendo importante na diferenciação da glomerulonefrite membranosa primária e secundária. Este teste pesquisa especificamente a presença destes anticorpos.;;;;;;
4080;12D4;1,2 DIHIDROXI-4 (N-ACETILCISTENIL), BUTANO, URINA;21 dias úteis;Butadieno na urina;COLETA309, Volume5;Urina amostra isolada;Cromatografia Gasosa;"- (12D4)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (12D4)VOLUME MÍNIMO:5 mL. ";- (12D4)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;O 1,3-Butadieno é um importante produto na indústria petroquímica utilizado na fabricação de borrachas usadas na produção de pneus. Polímeros de butadieno são também utilizados numa variedade de outras aplicações industriais, incluindo a produção e síntese de certos produtos de látex, resinas e borracha nitrílica. O 1,2 dihidroxi-4-(N-acetilcisteinil) butano é um metabólito do butadieno pesquisado na urina e utilizado para avaliação de sua exposição ocupacional.;;- (12D4)PACIENTE:Exame realizado em amostra de urina isolada, pré ou pós-jornada de trabalho ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.No caso de avaliação ocupacional, a coleta deve ser feita no fim da jornada do último dia da semana de trabalho.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
4081;PHPF;HELICOBACTER PYLORI (ANTIGENO);05 dias úteis;Helicobacter pylori,  pesquisa nas fezes, H. Pylori, Helicobacter pylori (Antígeno);COLETA603, VOLUME195;Fezes;Imunocromatografia;"- (PHPF)COLETA:Fezes recém-emitidas coletadas em frasco universalREJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (PHPF)VOLUME MÍNIMO:

2 g
";"- (PHPF)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 3 dias.Congelada (-20°C): 30 dias.
";Exame útil para diagnóstico como para avaliação da terapêutica de erradicação do H. Pylori.;;"- (PHPF)PACIENTE:Não se aplica.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
4082;SP100;ANTI-SP-100, AUTOANTICORPOS;18 dias úteis;"Anticorpos IgG anti SP100;";COLETA1;Soro;Imunoenzimático (ELISA);"- (SP100)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
";- (SP100)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;Este teste tem a finalidade de pesquisar autoanticorpos anti-Sp-100, os quais são descritos principalmente na Cirrose Biliar Primária, mas podem ser observados em diversas outras condições clínicas.;;;;;;
4083;;ANTIGENO TUMORAL DA BEXIGA;31 dias úteis;BTA na urina;COLETA279;Urina amostra isolada;Imunoensaio enzimático;- (BTA)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).Volume mínimo: 20 mL.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (BTA)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;"Este exame é util para auxiliar no diagnóstico de tumor vesical. BTA é a sigla de Blader Tumor Antigen e corresponde a um marcador tumoral para neoplasia de bexiga.";;- (BTA)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
4084;GI221;HEMOFILIA A(GENE FATOR VIII/INVERSAO INTRONS 22/1;41 dias úteis;DETECCAO DA INVERSAO DO INTRON 22 NO GENE F8;;Sangue total (EDTA);;;;;;;"
Sangue total com EDTA";"Instruções de jejum:
Jejum desejável de 4 horas.

Para bebês ou até 2 anos: jejum de duas horas 
após mamada ou antes da próxima mamada.

Crianças acima de 2 anos: 2 a 3 horas de jejum, 
ou conforme orientação médica.";"Instruções de paciente:
Este exame e realizado somente com solicitação 
medica (anexar copia).
INDISPENSAVEL preenchimento do termo de 
Consentimento para Exames Genéticos e do 
questionário para testes genéticos.";"Instruções de coleta:
Sangue total com EDTA (02 tubos EDTA) 
 

Coleta: punção venosa em tubo com EDTA (tampa 
roxa)

Enviar para a AFIP-central imediatamente após a 
coleta."
